# Thu Aug  9 04:42:15 2018   epoch: 1533804135.74  ecg_per_packet: 8
# seqID, timestamp_in_sec, ecg_data
-1, -1, -1687.552
-1, -1, -1605.632
-1, -1, -1654.784
-1, -1, -1818.624
0, 0.0, -2064.384
-1, -1, -2064.384
-1, -1, -1933.312
-1, -1, -1671.168
-1, -1, -1425.408
-1, -1, -1327.104
-1, -1, -1327.104
-1, -1, -1294.336
0, 0.0, -1163.264
-1, -1, -1163.264
-1, -1, -1064.96
-1, -1, -1015.808
-1, -1, -1032.192
-1, -1, -983.04
-1, -1, -901.12
-1, -1, -884.736
0, 0.0, -950.272
-1, -1, -950.272
-1, -1, -983.04
-1, -1, -966.656
-1, -1, -950.272
-1, -1, -917.504
-1, -1, -835.584
-1, -1, -868.352
0, 0.0, -770.048
-1, -1, -770.048
-1, -1, -671.744
-1, -1, -868.352
-1, -1, -1179.648
-1, -1, -1441.792
-1, -1, -1458.176
-1, -1, -1228.8
0, 0.0, -704.512
-1, -1, -704.512
-1, -1, -442.368
